City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
124,sinnamary,73,GF,1563163306,79,5.38,-52.96,80.73,12.95
125,talaya,0,RU,1563163406,59,55.79,84.89,66.2,8.95
126,menongue,0,AO,1563163509,33,-14.66,17.68,46.17,4.47
127,orkeny,0,HU,1563163509,100,47.13,19.43,59.0,5.82
128,kalabo,62,ZM,1563163510,40,-15.0,22.67,47.61,6.24
129,nizwa,33,OM,1563163510,43,22.93,57.53,82.53,0.89
130,austin,1,US,1563163463,74,30.27,-97.74,84.99,3.36
131,saint anthony,1,US,1563163510,36,43.97,-111.68,80.6,13.87
132,port hardy,75,CA,1563163286,77,50.7,-127.42,62.6,9.17
133,tanout,0,NE,1563163510,32,14.97,8.88,89.37,4.81
134,lola,71,GN,1563163510,98,7.8,-8.53,68.13,1.66
135,hutchinson,1,US,1563163510,69,38.06,-97.93,82.0,8.05
136,samarai,100,PG,1563163344,95,-10.62,150.67,74.25,7.43
137,pathalgaon,11,IN,1563163511,60,22.56,83.46,85.05,7.09
138,swadlincote,75,GB,1563163339,93,52.77,-1.56,53.01,1.12
139,vila,75,IT,1563163511,93,45.18,8.4,63.0,14.99
140,ilulissat,20,GL,1563163399,64,69.22,-51.1,48.2,2.24
141,bourail,100,NC,1563163511,82,-21.57,165.5,69.57,7.18
142,saint-louis,75,SN,1563163511,83,16.03,-16.5,77.0,11.41
143,cherskiy,83,RU,1563163403,55,68.75,161.3,50.85,19.37
144,anqiu,0,CN,1563163512,50,36.48,119.21,87.93,4.03
145,kudahuvadhoo,100,MV,1563163403,67,2.67,72.89,82.89,3.29
146,punta arenas,0,CL,1563163222,100,-53.16,-70.91,33.8,9.17
147,namibe,0,AO,1563163463,85,-15.19,12.15,66.33,14.12
148,nelson bay,0,AU,1563163474,56,-32.72,152.14,64.4,16.11
149,tombouctou,100,ML,1563163512,36,16.77,-3.01,91.89,13.8
150,matay,0,EG,1563163512,62,28.42,30.79,73.89,9.46
151,batemans bay,0,AU,1563163512,42,-35.71,150.18,62.01,4.0
152,castro,0,CL,1563163249,100,-42.48,-73.76,39.2,5.82
153,torres,100,BR,1563163512,92,-29.34,-49.73,51.21,4.32
154,cabo san lucas,40,MX,1563163387,78,22.89,-109.91,89.6,13.87
155,sambava,42,MG,1563163293,75,-14.27,50.17,62.73,3.96
156,faanui,9,PF,1563163436,81,-16.48,-151.75,78.57,11.97
157,sehithwa,0,BW,1563163513,33,-20.47,22.7,50.13,5.95
158,kieta,81,PG,1563163513,68,-6.22,155.63,82.17,3.85
159,kaitangata,64,NZ,1563163421,65,-46.28,169.85,46.0,1.01
160,khatanga,44,RU,1563163224,43,71.98,102.47,60.57,10.11
161,dikson,100,RU,1563163415,94,73.51,80.55,42.21,14.61
162,xai-xai,0,MZ,1563163513,95,-25.04,33.64,58.05,4.27
163,nishihara,90,JP,1563163513,69,35.74,139.53,79.0,2.39
164,barcelona,20,ES,1563163309,78,41.38,2.18,75.99,4.7
165,sibolga,92,ID,1563163513,76,1.74,98.78,81.09,4.59
166,george town,75,MY,1563163514,79,5.42,100.33,84.2,3.36
167,zhigansk,42,RU,1563163514,37,66.77,123.37,65.61,19.37
168,vila franca do campo,20,PT,1563163418,82,37.72,-25.43,68.0,2.24
169,price,20,US,1563163365,26,39.6,-110.81,82.4,3.36
170,beringovskiy,94,RU,1563163455,69,63.05,179.32,60.93,8.9
171,vanavara,85,RU,1563163450,65,60.35,102.28,72.45,6.62
